OTU_ID	S100	S101	S109	S110	S111	S112	S113	S121	S122	S123	S124	S125	S133	S134	S135	S136	S137	S145	S146	S147	S148	S149	S157	S158	S159	S160	S161	S169	S170	S171	S172	S173	S181	S182	S183	S184	S185	S504	S505	S506	S507	S508	S509	S516	S517	S518	S519	S520	S521	S528	S529	S530	S531	S532	S533	S540	S541	S542	S543	S544	S545	S552	S553	S554	S555	S556	S557	S564	S565	S566	S567	S568	S569	S576	S577	S578	S579	S580	S581	S588	S589	S590	S591	S592	S593	S97	S98	S99
Otu1964	0	0	3	2	2	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1874	0	0	2	1	0	0	0	8	2	0	0	0	0	1	0	0	0	1	0	0	2	0	1	5	0	0	0	0	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1387	0	0	3	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	1	12	1	0	0	0	7	0	0	0	0	1	0	0	0	1	0	0	0	0	2	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	5
Otu2658	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Otu1655	0	0	3	2	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Otu1453	0	0	2	2	0	0	0	4	4	0	1	1	1	6	0	0	1	28	0	5	1	0	1	0	0	8	1	1	1	0	3	0	0	1	0	0	0	2	0	0	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	2	0	0	0	18	1	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	4
Otu2206	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu1420	0	0	2	1	0	0	1	1	0	1	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	37	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
Otu2251	0	0	3	1	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu1580	0	0	1	2	1	0	0	2	2	1	1	0	1	1	0	0	0	13	0	0	0	0	1	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu3014	0	0	4	8	8	1	1	2	4	2	1	0	2	1	0	2	0	3	0	2	1	0	0	1	4	14	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3
Otu1057	0	0	6	6	2	2	0	6	2	0	0	0	0	4	0	2	1	9	0	1	0	0	1	1	1	17	2	0	0	0	0	0	4	3	0	5	2	0	0	0	0	0	0	0	3	5	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	1	0	3	0	0	1	0	0	4	1	0	1	1	0	0	0	0	1	1	4
Otu2470	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
